id,pr_nomLabel,nom_de_familleLabel,pays_de_nationalit_Label,date_de_naissance,date_de_mort,identifiant_Fichier_d_autorit__international_virtuel,_cole_des_chartesLabel,occupationLabel,dipl_me_universitaireLabel,distinction_re_ueLabel,domaine_d_activit_Label,th_se_de_doctorat,th_se_de_doctoratLabel
http://www.wikidata.org/entity/Q2497623,Michel,,France,1947-06-17T00:00:00Z,,34461333,,,,,,,
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,paléographe,archiviste paléographe,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,paléographe,archiviste paléographe,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,paléographe,docteur ès lettres,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,paléographe,docteur ès lettres,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,archiviste,archiviste paléographe,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,archiviste,archiviste paléographe,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,archiviste,docteur ès lettres,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q26954685,Élie,Berger,France,1850-08-12T00:00:00Z,1925-04-03T00:00:00.000Z,61541711,Élie Berger,archiviste,docteur ès lettres,officier de la Légion d'honneur,,http://www.wikidata.org/entity/Q43950340,Q43950340
http://www.wikidata.org/entity/Q3351082,Olivier,Guyotjeannin,France,1959-03-13T00:00:00Z,,29535054,Olivier Guyotjeannin,historien,,,Moyen Âge,http://www.wikidata.org/entity/Q43397149,La Seigneurie des évêques de Beauvais et de Noyon (Xe siècle-début du XIIIe siècle)
